"","Time","Tp","Cl","pH","Redox","Leit","Trueb","Cl_2","Fm","Fm_2","EVENT"
"16500",2016-08-14 17:48:00,6.9,0.17,8.37,751,211,0.019,0.11,1796,951,FALSE
"16501",2016-08-14 17:49:00,6.8,0.17,8.38,751,211,0.019,0.11,1879,944,FALSE
"16502",2016-08-14 17:50:00,6.8,0.17,8.38,751,211,0.018,0.11,1848,942,FALSE
"16503",2016-08-14 17:51:00,6.8,0.17,8.37,752,211,0.018,0.11,1836,943,FALSE
"16504",2016-08-14 17:52:00,6.8,0.17,8.38,752,211,0.019,0.11,1847,939,FALSE
"16505",2016-08-14 17:53:00,6.8,0.18,8.38,752,211,0.019,0.111,1821,938,FALSE
"16506",2016-08-14 17:54:00,6.8,0.18,8.38,751,211,0.019,0.11,1885,945,FALSE
"16507",2016-08-14 17:55:00,6.8,0.18,8.38,753,211,0.019,0.111,1880,938,FALSE
"16508",2016-08-14 17:56:00,6.8,0.17,8.38,753,211,0.019,0.111,1870,938,FALSE
"16509",2016-08-14 17:57:00,6.7,0.17,8.38,752,211,0.019,0.113,1865,942,FALSE
"16510",2016-08-14 17:58:00,6.8,0.18,8.37,753,211,0.019,0.111,1833,944,FALSE
"16511",2016-08-14 17:59:00,6.8,0.17,8.38,753,211,0.019,0.113,1836,938,FALSE
"16512",2016-08-14 18:00:00,6.8,0.17,8.37,752,211,0.025,0.113,1871,947,FALSE
"16513",2016-08-14 18:01:00,6.8,0.17,8.38,753,211,0.019,0.11,1857,947,FALSE
"16514",2016-08-14 18:02:00,6.7,0.17,8.38,753,211,0.019,0.113,1862,945,FALSE
"16515",2016-08-14 18:03:00,6.8,0.17,8.37,753,211,0.021,0.113,1824,944,FALSE
"16516",2016-08-14 18:04:00,6.8,0.17,8.37,753,211,0.019,0.113,1844,947,FALSE
"16517",2016-08-14 18:05:00,6.8,0.17,8.37,752,211,0.019,0.114,1839,942,FALSE
"16518",2016-08-14 18:06:00,6.8,0.17,8.37,753,211,0.02,0.113,1858,944,FALSE
"16519",2016-08-14 18:07:00,6.8,0.17,8.36,753,211,0.019,0.11,1851,944,FALSE
"16520",2016-08-14 18:08:00,6.7,0.16,8.36,753,211,0.021,0.113,1865,934,FALSE
"16521",2016-08-14 18:09:00,6.8,0.16,8.36,752,211,0.019,0.111,1835,934,FALSE
"16522",2016-08-14 18:10:00,6.7,0.16,8.35,753,211,0.019,0.111,1812,934,FALSE
"16523",2016-08-14 18:11:00,6.9,0.16,8.35,754,207,0.019,0.111,1812,943,FALSE
"16524",2016-08-14 18:12:00,6.9,0.16,8.35,754,207,0.019,0.113,1810,943,FALSE
"16525",2016-08-14 18:13:00,6.8,0.16,8.35,753,207,0.019,0.11,1818,934,FALSE
"16526",2016-08-14 18:14:00,6.8,0.16,8.34,753,207,0.018,0.111,1836,937,FALSE
"16527",2016-08-14 18:15:00,6.8,0.16,8.34,753,207,0.018,0.111,1856,945,FALSE
"16528",2016-08-14 18:16:00,6.8,0.16,8.34,753,207,0.018,0.111,1817,947,FALSE
"16529",2016-08-14 18:17:00,6.9,0.16,8.34,754,207,0.019,0.113,1831,936,FALSE
"16530",2016-08-14 18:18:00,6.9,0.16,8.34,753,207,0.018,0.111,1828,943,FALSE
"16531",2016-08-14 18:19:00,6.9,0.16,8.33,753,207,0.018,0.114,1851,943,FALSE
"16532",2016-08-14 18:20:00,6.8,0.16,8.33,753,207,0.018,0.114,1833,943,FALSE
"16533",2016-08-14 18:21:00,6.9,0.16,8.33,754,207,0.019,0.113,1858,944,FALSE
"16534",2016-08-14 18:22:00,6.9,0.16,8.32,754,207,0.018,0.114,1870,937,FALSE
"16535",2016-08-14 18:23:00,6.9,0.16,8.32,754,207,0.018,0.114,1828,945,FALSE
"16536",2016-08-14 18:24:00,6.8,0.16,8.32,754,207,0.018,0.114,1834,942,FALSE
"16537",2016-08-14 18:25:00,6.9,0.16,8.32,754,207,0.019,0.116,1804,939,FALSE
"16538",2016-08-14 18:26:00,6.9,0.17,8.32,754,207,0.018,0.114,1813,937,FALSE
"16539",2016-08-14 18:27:00,6.8,0.17,8.32,754,207,0.018,0.116,1848,949,FALSE
"16540",2016-08-14 18:28:00,6.9,0.17,8.32,754,207,0.018,0.114,1825,947,FALSE
"16541",2016-08-14 18:29:00,6.8,0.17,8.32,754,207,0.018,0.114,1844,954,FALSE
"16542",2016-08-14 18:30:00,6.9,0.17,8.32,754,207,0.021,0.114,1831,945,FALSE
"16543",2016-08-14 18:31:00,6.8,0.18,8.31,754,207,0.02,0.116,1799,944,FALSE
"16544",2016-08-14 18:32:00,6.8,0.18,8.32,754,207,0.018,0.114,1839,945,FALSE
"16545",2016-08-14 18:33:00,6.8,0.17,8.31,754,207,0.02,0.116,1819,937,FALSE
"16546",2016-08-14 18:34:00,6.8,0.17,8.31,754,207,0.019,0.114,1839,938,FALSE
"16547",2016-08-14 18:35:00,6.8,0.17,8.31,754,207,0.018,0.114,1804,930,FALSE
"16548",2016-08-14 18:36:00,6.8,0.17,8.31,754,207,0.018,0.114,1813,942,FALSE
"16549",2016-08-14 18:37:00,6.9,0.17,8.31,754,207,0.018,0.114,1812,943,FALSE
"16550",2016-08-14 18:38:00,6.8,0.17,8.31,755,207,0.018,0.114,1862,945,FALSE
"16551",2016-08-14 18:39:00,6.8,0.16,8.31,754,207,0.018,0.114,1799,938,FALSE
"16552",2016-08-14 18:40:00,6.8,0.16,8.31,754,211,0.018,0.114,1835,943,FALSE
"16553",2016-08-14 18:41:00,6.9,0.16,8.31,754,207,0.018,0.113,1828,950,FALSE
"16554",2016-08-14 18:42:00,6.8,0.16,8.31,754,211,0.018,0.113,1828,1015,FALSE
"16555",2016-08-14 18:43:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.114,1795,1054,TRUE
"16556",2016-08-14 18:44:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.113,1822,1061,TRUE
"16557",2016-08-14 18:45:00,6.8,0.16,8.50733536034794,729.280805155332,211,0.0253949578743681,0.113,1783,1064,TRUE
"16558",2016-08-14 18:46:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1829,1060,TRUE
"16559",2016-08-14 18:47:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1818,1061,TRUE
"16560",2016-08-14 18:48:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.11,1817,1061,TRUE
"16561",2016-08-14 18:49:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0283949578743681,0.113,1792,1064,TRUE
"16562",2016-08-14 18:50:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1825,1057,TRUE
"16563",2016-08-14 18:51:00,6.8,0.16,8.50733536034794,729.280805155332,211,0.0253949578743681,0.111,1827,1063,TRUE
"16564",2016-08-14 18:52:00,6.7,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.113,1806,1064,TRUE
"16565",2016-08-14 18:53:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1821,1057,TRUE
"16566",2016-08-14 18:54:00,6.7,0.16,8.50733536034794,729.280805155332,211,0.0263949578743681,0.113,1821,1055,TRUE
"16567",2016-08-14 18:55:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1822,1061,TRUE
"16568",2016-08-14 18:56:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1836,1061,TRUE
"16569",2016-08-14 18:57:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0243949578743681,0.113,1799,1065,TRUE
"16570",2016-08-14 18:58:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0243949578743681,0.114,1793,1063,TRUE
"16571",2016-08-14 18:59:00,6.8,0.16,8.50733536034794,730.280805155332,211,0.0243949578743681,0.113,1795,1060,TRUE
"16572",2016-08-14 19:00:00,6.7,0.16,8.49733536034794,730.280805155332,211,0.0243949578743681,0.113,1795,1059,TRUE
"16573",2016-08-14 19:01:00,6.8,0.16,8.31,754,211,0.017,0.114,1795,1063,FALSE
"16574",2016-08-14 19:02:00,6.8,0.16,8.31,754,211,0.017,0.114,1811,1063,FALSE
"16575",2016-08-14 19:03:00,6.8,0.17,8.31,754,211,0.018,0.114,1800,1063,FALSE
"16576",2016-08-14 19:04:00,6.8,0.17,8.3,754,211,0.017,0.114,1810,1060,FALSE
"16577",2016-08-14 19:05:00,6.8,0.17,8.3,754,211,0.017,0.113,1799,1063,FALSE
"16578",2016-08-14 19:06:00,6.8,0.17,8.3,755,211,0.017,0.113,1833,1059,FALSE
"16579",2016-08-14 19:07:00,6.8,0.17,8.3,754,211,0.017,0.114,1833,1067,FALSE
"16580",2016-08-14 19:08:00,6.8,0.17,8.3,754,211,0.018,0.111,1799,1061,FALSE
"16581",2016-08-14 19:09:00,6.8,0.17,8.3,754,211,0.018,0.114,1766,1070,FALSE
"16582",2016-08-14 19:10:00,6.8,0.16,8.3,754,211,0.018,0.114,1807,1069,FALSE
"16583",2016-08-14 19:11:00,6.8,0.16,8.3,754,211,0.018,0.113,1848,1064,FALSE
"16584",2016-08-14 19:12:00,6.8,0.16,8.3,754,211,0.018,0.111,1805,1061,FALSE
"16585",2016-08-14 19:13:00,6.8,0.16,8.3,754,211,0.021,0.111,1781,1057,FALSE
"16586",2016-08-14 19:14:00,6.8,0.16,8.3,754,211,0.018,0.113,1828,1065,FALSE
"16587",2016-08-14 19:15:00,6.8,0.16,8.3,754,211,0.019,0.111,1778,1057,FALSE
"16588",2016-08-14 19:16:00,6.8,0.16,8.29,754,211,0.018,0.111,1792,1057,FALSE
"16589",2016-08-14 19:17:00,6.7,0.16,8.29,754,211,0.018,0.111,1790,1059,FALSE
"16590",2016-08-14 19:18:00,6.8,0.16,8.29,754,211,0.018,0.111,1805,1070,FALSE
"16591",2016-08-14 19:19:00,6.8,0.16,8.3,754,211,0.018,0.11,1789,1059,FALSE
"16592",2016-08-14 19:20:00,6.8,0.16,8.29,754,211,0.018,0.11,1807,1061,FALSE
"16593",2016-08-14 19:21:00,6.9,0.16,8.29,755,211,0.018,0.11,1813,1064,FALSE
"16594",2016-08-14 19:22:00,6.8,0.16,8.29,754,211,0.018,0.111,1776,1063,FALSE
"16595",2016-08-14 19:23:00,6.9,0.16,8.28,753,211,0.018,0.111,1782,1060,FALSE
"16596",2016-08-14 19:24:00,6.9,0.16,8.28,754,211,0.018,0.111,1847,1064,FALSE
"16597",2016-08-14 19:25:00,6.8,0.15,8.28,754,211,0.023,0.11,1758,1061,FALSE
"16598",2016-08-14 19:26:00,6.8,0.16,8.28,754,211,0.018,0.111,1770,1055,FALSE
"16599",2016-08-14 19:27:00,6.9,0.16,8.28,754,211,0.022,0.11,1796,1057,FALSE
"16600",2016-08-14 19:28:00,6.8,0.15,8.28,754,211,0.018,0.11,1777,1057,FALSE
"16601",2016-08-14 19:29:00,6.8,0.15,8.28,754,211,0.018,0.11,1796,1059,FALSE
"16602",2016-08-14 19:30:00,6.8,0.16,8.28,754,211,0.017,0.109,1790,1064,FALSE
"16603",2016-08-14 19:31:00,6.8,0.16,8.28,754,211,0.017,0.11,1783,1060,FALSE
"16604",2016-08-14 19:32:00,6.8,0.16,8.28,754,211,0.017,0.11,1784,1061,FALSE
"16605",2016-08-14 19:33:00,6.9,0.16,8.28,754,211,0.017,0.11,1802,1060,FALSE
"16606",2016-08-14 19:34:00,6.9,0.16,8.28,754,211,0.017,0.11,1784,1060,FALSE
"16607",2016-08-14 19:35:00,6.8,0.16,8.28,754,211,0.017,0.11,1773,1067,FALSE
"16608",2016-08-14 19:36:00,6.8,0.16,8.28,754,211,0.017,0.11,1800,1060,FALSE
"16609",2016-08-14 19:37:00,6.9,0.16,8.28,754,211,0.017,0.111,1767,1063,FALSE
"16610",2016-08-14 19:38:00,6.8,0.16,8.29,754,211,0.017,0.11,1805,1060,FALSE
"16611",2016-08-14 19:39:00,6.9,0.16,8.28,754,211,0.017,0.11,1770,1057,FALSE
"16612",2016-08-14 19:40:00,6.8,0.17,8.28,754,211,0.016,0.11,1767,1057,FALSE
"16613",2016-08-14 19:41:00,6.8,0.16,8.29,754,211,0.017,0.11,1777,1060,FALSE
"16614",2016-08-14 19:42:00,6.8,0.17,8.29,754,211,0.017,0.109,1754,1057,FALSE
"16615",2016-08-14 19:43:00,6.9,0.17,8.29,754,211,0.016,0.11,1668,1057,FALSE
"16616",2016-08-14 19:44:00,6.9,0.17,8.29,754,211,0.016,0.11,1591,1053,FALSE
"16617",2016-08-14 19:45:00,6.9,0.17,8.3,754,211,0.018,0.11,1608,1055,FALSE
"16618",2016-08-14 19:46:00,6.9,0.17,8.3,754,211,0.016,0.109,1616,1061,FALSE
"16619",2016-08-14 19:47:00,6.9,0.17,8.31,754,211,0.017,0.11,1609,1059,FALSE
"16620",2016-08-14 19:48:00,6.8,0.17,8.3,753,211,0.02,0.109,1648,1059,FALSE
"16621",2016-08-14 19:49:00,6.8,0.17,8.3,754,211,0.016,0.108,1605,1055,FALSE
"16622",2016-08-14 19:50:00,6.9,0.16,8.3,753,211,0.017,0.109,1604,1059,FALSE
"16623",2016-08-14 19:51:00,6.8,0.16,8.3,754,211,0.017,0.108,1608,1060,FALSE
