"tp","cl","ph","redox","leit","trueb","cl_2","fm","fm_2","event"
6.9,0.17,8.37,751,211,0.019,0.11,1796,951,0
6.8,0.17,8.38,751,211,0.019,0.11,1879,944,0
6.8,0.17,8.38,751,211,0.018,0.11,1848,942,0
6.8,0.17,8.37,752,211,0.018,0.11,1836,943,0
6.8,0.17,8.38,752,211,0.019,0.11,1847,939,0
6.8,0.18,8.38,752,211,0.019,0.111,1821,938,0
6.8,0.18,8.38,751,211,0.019,0.11,1885,945,0
6.8,0.18,8.38,753,211,0.019,0.111,1880,938,0
6.8,0.17,8.38,753,211,0.019,0.111,1870,938,0
6.7,0.17,8.38,752,211,0.019,0.113,1865,942,0
6.8,0.18,8.37,753,211,0.019,0.111,1833,944,0
6.8,0.17,8.38,753,211,0.019,0.113,1836,938,0
6.8,0.17,8.37,752,211,0.025,0.113,1871,947,0
6.8,0.17,8.38,753,211,0.019,0.11,1857,947,0
6.7,0.17,8.38,753,211,0.019,0.113,1862,945,0
6.8,0.17,8.37,753,211,0.021,0.113,1824,944,0
6.8,0.17,8.37,753,211,0.019,0.113,1844,947,0
6.8,0.17,8.37,752,211,0.019,0.114,1839,942,0
6.8,0.17,8.37,753,211,0.02,0.113,1858,944,0
6.8,0.17,8.36,753,211,0.019,0.11,1851,944,0
6.7,0.16,8.36,753,211,0.021,0.113,1865,934,0
6.8,0.16,8.36,752,211,0.019,0.111,1835,934,0
6.7,0.16,8.35,753,211,0.019,0.111,1812,934,0
6.9,0.16,8.35,754,207,0.019,0.111,1812,943,0
6.9,0.16,8.35,754,207,0.019,0.113,1810,943,0
6.8,0.16,8.35,753,207,0.019,0.11,1818,934,0
6.8,0.16,8.34,753,207,0.018,0.111,1836,937,0
6.8,0.16,8.34,753,207,0.018,0.111,1856,945,0
6.8,0.16,8.34,753,207,0.018,0.111,1817,947,0
6.9,0.16,8.34,754,207,0.019,0.113,1831,936,0
6.9,0.16,8.34,753,207,0.018,0.111,1828,943,0
6.9,0.16,8.33,753,207,0.018,0.114,1851,943,0
6.8,0.16,8.33,753,207,0.018,0.114,1833,943,0
6.9,0.16,8.33,754,207,0.019,0.113,1858,944,0
6.9,0.16,8.32,754,207,0.018,0.114,1870,937,0
6.9,0.16,8.32,754,207,0.018,0.114,1828,945,0
6.8,0.16,8.32,754,207,0.018,0.114,1834,942,0
6.9,0.16,8.32,754,207,0.019,0.116,1804,939,0
6.9,0.17,8.32,754,207,0.018,0.114,1813,937,0
6.8,0.17,8.32,754,207,0.018,0.116,1848,949,0
6.9,0.17,8.32,754,207,0.018,0.114,1825,947,0
6.8,0.17,8.32,754,207,0.018,0.114,1844,954,0
6.9,0.17,8.32,754,207,0.021,0.114,1831,945,0
6.8,0.18,8.31,754,207,0.02,0.116,1799,944,0
6.8,0.18,8.32,754,207,0.018,0.114,1839,945,0
6.8,0.17,8.31,754,207,0.02,0.116,1819,937,0
6.8,0.17,8.31,754,207,0.019,0.114,1839,938,0
6.8,0.17,8.31,754,207,0.018,0.114,1804,930,0
6.8,0.17,8.31,754,207,0.018,0.114,1813,942,0
6.9,0.17,8.31,754,207,0.018,0.114,1812,943,0
6.8,0.17,8.31,755,207,0.018,0.114,1862,945,0
6.8,0.16,8.31,754,207,0.018,0.114,1799,938,0
6.8,0.16,8.31,754,211,0.018,0.114,1835,943,0
6.9,0.16,8.31,754,207,0.018,0.113,1828,950,0
6.8,0.16,8.31,754,211,0.018,0.113,1828,1015,0
6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.114,1795,1054,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.113,1822,1061,1
6.8,0.16,8.50733536034794,729.280805155332,211,0.0253949578743681,0.113,1783,1064,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1829,1060,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1818,1061,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.11,1817,1061,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0283949578743681,0.113,1792,1064,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1825,1057,1
6.8,0.16,8.50733536034794,729.280805155332,211,0.0253949578743681,0.111,1827,1063,1
6.7,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.113,1806,1064,1
