"series","event"
-34.251895,0
-31.614943,0
-34.259145,0
-36.39652,0
-35.627552,0
-31.957935,0
-35.295329,0
-36.09188,0
-37.522716,0
-35.816703,0
-37.58138,0
-39.625113,0
-41.58495,0
-36.30825,0
-39.153831,0
-40.850288,0
-40.286559,0
-36.177041,0
-37.56269,0
-40.266143,0
-40.806668,0
-38.75035,0
-41.108783,0
-44.542082,0
-44.857762,0
-42.139238,0
-40.196367,0
-41.763694,0
-43.543253,0
-42.789976,0
-42.125686,0
-44.341705,0
-45.044112,0
-42.991205,0
-41.477663,0
-41.783602,0
-43.908012,0
-43.120634,0
-41.401709,0
-41.618517,0
-45.025184,0
-44.45746,0
-43.396383,0
-44.26683,0
-44.391367,0
-43.519899,0
-40.337073,0
-39.370016,0
-41.243968,0
-43.796477,0
-41.558537,0
-40.000708,0
-39.848976,0
-41.371247,0
-37.642977,0
-34.762271,0
-35.322934,0
-36.63329,0
-35.302531,0
-30.798612,0
-31.224595,0
-30.8394,0
-27.845373,0
-23.047953,0
-28.275796,0
-35.29817,0
-38.891506,0
-35.598165,0
-36.426277,0
-38.275265,0
-39.89934,0
-37.610101,0
-37.207952,0
-40.941255,0
-40.364087,0
-40.161986,0
-39.899603,0
-41.981541,0
-44.00994,0
-40.277036,0
-40.446525,0
-40.673996,0
-44.321558,0
-43.378204,0
-40.968387,0
-42.823982,0
-48.206196,0
-53.369088,0
-56.846584,0
-64.945048,0
-71.814399,0
-61.227739,0
-29.677258,0
-3.5331338,0
15.93992,0
45.059105,0
76.775464,0
99.563106,0
83.52771,0
0.42030348,0
-65.23786,0
-76.388087,0
-63.854346,0
-62.927947,0
-56.778727,0
-51.181175,0
-56.646343,0
-56.43025,0
-57.126384,0
-53.312334,0
-55.022527,0
-55.882498,0
-54.092111,0
-53.646316,0
-52.4548,0
-53.182661,0
-53.294159,0
-48.395943,0
-47.432543,0
-50.339978,0
-50.336755,0
-48.16025,0
-49.649545,0
-51.912284,0
-55.73572,0
-50.605723,0
-48.620139,0
-50.612913,0
-52.824022,0
-51.290027,0
-52.49871,0
-50.581055,0
-52.839719,0
-50.854079,0
-50.790009,0
-53.369793,0
-56.885819,0
-52.758287,0
-50.159028,0
-52.123598,0
-53.73126,0
-56.291625,0
-54.148395,0
-55.098753,0
-55.987357,0
-59.106691,0
-56.387294,0
-58.348673,0
-60.995535,0
-62.12898,0
-62.298385,0
-63.767941,0
-66.613655,0
-69.49127,0
-66.373716,0
-66.807,0
-69.28884,0
-72.920395,0
-71.222012,0
-70.598002,0
-73.901438,0
-75.402415,0
-76.245975,0
-71.78073,0
-74.698787,0
-78.271112,0
-78.602788,0
-74.01557,0
-75.88344,0
-78.119756,0
-75.385396,0
-70.919091,0
-69.744404,0
-69.306327,0
-67.795091,0
-60.997746,0
-59.434082,0
-59.121894,0
-56.118508,0
-54.280525,0
-49.745056,0
-49.752613,0
-48.368419,0
-46.183247,0
-44.30756,0
-46.566867,0
-48.077697,0
-45.579639,0
-42.892906,0
-45.261297,0
-46.337953,0
-48.386833,0
-41.839183,0
-41.303366,0
-43.544244,0
-46.088593,0
-43.452161,0
-45.833327,0
-46.177689,0
-45.001913,0
-44.308387,0
-41.987678,0
-45.275277,0
-46.726614,0
-45.776429,0
-43.097445,0
-43.334676,0
-48.703963,0
-47.174102,0
-43.559339,0
-42.8889,0
-45.812108,0
-45.532812,0
-45.847483,0
-46.486486,0
-48.163393,0
-46.963318,0
-41.811283,0
-45.083877,0
-47.860227,0
-48.324809,0
-45.541408,0
-46.336947,0
-45.659481,0
-48.649873,0
-44.659834,0
-45.699138,0
-49.027349,0
-52.028732,0
-49.960515,0
-47.767927,0
-50.247361,0
-51.623436,0
-48.485939,0
-49.380216,0
-47.848004,0
-47.939583,0
-48.486196,0
-46.302218,0
-47.526865,0
-52.194439,0
-52.451537,0
-47.658264,0
-46.589949,0
-50.557683,0
-49.627079,0
-48.875887,0
-46.227239,0
-45.48329,0
-44.042323,0
-38.756554,0
-36.948491,0
-40.461537,0
-43.698929,0
-37.708265,0
-34.659758,0
-33.352923,0
-35.424854,0
-32.594985,0
-30.952553,0
-36.935381,0
-41.348852,0
-41.37955,0
-39.683819,0
-41.156913,0
-43.242889,0
-44.382463,0
-46.064423,0
-46.673717,0
-45.20272,0
-47.764841,0
-45.523733,0
-45.584421,0
-47.82695,0
-49.020963,0
-47.069292,0
-45.072498,0
-47.232789,0
-48.37811,0
-48.306598,0
-46.050785,0
-42.534945,0
-46.348303,0
-44.371001,0
-45.743625,0
-49.354786,0
-60.108135,0
-63.765356,0
-66.271412,0
-67.194007,0
-52.53464,0
-25.176943,0
-4.353584,0
17.48389,0
41.232674,0
69.233072,0
81.371871,0
26.639216,0
-59.955996,0
-90.423394,0
-71.180755,0
-64.427721,0
-62.652972,0
-63.995166,0
-60.051488,0
-56.603829,0
-57.027143,0
-60.757341,0
-60.24964,0
-56.674893,0
-58.695547,0
-59.87698,0
-61.195929,0
-60.900742,0
-61.097856,0
-62.443153,0
-62.06854,0
-58.253412,0
-57.87756,0
-58.015906,0
-62.050249,0
-59.402546,0
-55.498455,0
-58.585735,0
-58.482591,0
-57.413603,0
-56.005771,0
-54.264836,0
-57.93353,0
-58.417202,0
-55.524156,0
-55.427127,0
-58.632983,0
-56.495011,0
-56.293625,0
-57.107522,0
-60.467828,0
-58.373265,0
-56.56079,0
-58.742583,0
-63.213618,0
-63.587836,0
-57.629669,0
-55.251695,0
-57.96327,0
-61.755062,0
-59.543146,0
-57.838799,0
-59.727629,0
-62.952715,0
-59.569453,0
-58.083304,0
-64.307606,0
-65.626256,0
-64.066819,0
-64.232607,0
-69.501381,0
-73.614223,0
-75.447899,0
-74.03078,0
-75.220859,0
-80.660732,0
-81.469269,0
-79.911464,0
-81.469165,0
-80.656606,0
-77.840237,0
-76.930904,0
-74.919779,0
-76.659179,0
-70.6123,0
-63.266348,0
-64.643487,0
-66.070526,0
-67.139427,0
-60.758381,0
-58.655298,0
-63.363498,0
-64.482684,0
-62.850908,0
-58.08325,0
-58.773669,0
-59.861416,0
-58.619767,0
-58.106596,0
-57.606927,0
-59.487248,0
-54.630993,0
-54.228293,0
-57.485584,0
-58.883557,0
-56.750858,0
-55.010207,0
-57.205634,0
-57.404682,0
-59.990473,0
-57.933859,0
-54.256522,0
-59.148618,0
-62.385308,0
-60.110386,0
-60.246161,0
-60.622554,0
-63.199194,0
-61.909038,0
-60.369853,0
-63.219759,0
-66.216068,0
-63.794613,0
-59.367212,0
-61.80137,0
-63.891394,0
-61.48517,0
-55.200365,0
-57.223961,0
-60.243611,0
-58.233815,0
-57.87983,0
-60.625327,0
-59.963406,0
-58.064787,0
-57.606681,0
-55.637733,0
-59.229918,0
-61.25316,0
-59.359141,0
-58.308097,0
-59.201697,0
-60.689217,0
-58.202979,0
-56.193365,0
-57.403448,0
-59.534373,0
-57.042098,0
-58.747823,0
-61.335231,0
-61.189834,0
-59.805603,0
-55.908244,0
-60.12036,0
-59.172064,0
-56.887893,0
-56.475188,0
-56.935916,0
-58.932445,0
-60.432228,0
-60.850944,0
-62.463762,0
-61.625956,0
-63.853904,0
-62.047346,0
-60.680743,0
-58.588538,0
-60.026559,0
-57.405202,0
-54.105678,0
-53.559678,0
-56.808315,0
-57.582582,0
-52.706057,0
-50.998342,0
-51.832713,0
-49.10005,0
-50.289499,0
-57.498148,0
-59.041204,0
-59.772458,0
-57.342569,0
-58.049263,0
-60.192254,0
-60.830061,0
-58.951446,0
-59.742968,0
-61.164152,0
-62.676722,0
-58.947699,0
-56.2347,0
-57.954587,0
-62.075988,0
-61.951226,0
-61.62852,0
-65.283086,0
-62.781437,0
-58.490424,0
-57.174968,0
-55.352525,0
-58.238929,0
-57.474654,0
-54.035343,0
-56.597378,0
-62.823272,0
-69.563911,0
-69.255855,0
-75.002391,0
-80.267073,0
-69.586616,0
-40.299268,0
-17.165306,0
-3.2891984,0
22.479673,0
58.086818,0
69.693827,0
26.197036,0
-60.073373,0
-92.558849,0
-79.334006,0
-69.362537,0
-67.373349,0
-61.081595,0
-60.429498,0
-61.739743,0
-64.279183,0
-60.233379,0
-59.305029,0
-57.232958,0
-59.567206,0
-58.713775,0
-55.328064,0
-57.312083,0
-60.611282,0
-64.19283,0
-60.484362,0
-58.626241,0
-57.928548,0
-60.031849,0
-57.914251,0
-55.930361,0
-56.521424,0
-61.451455,0
-59.58728,0
-55.801359,0
-58.071859,0
-59.3815,0
-56.620204,0
-58.254469,0
-57.398926,0
-61.063579,0
-62.101124,0
-57.886652,0
-57.103265,0
-58.046832,0
-57.799879,0
-58.05641,0
-57.471326,0
-58.694384,0
-59.819934,0
-57.086161,0
-56.180021,0
-60.439229,0
-62.902667,0
-58.956063,0
-57.064404,0
-60.953839,0
-61.372997,0
-64.137791,0
-64.17645,0
-64.848502,0
-69.27466,0
-67.784026,0
-66.177315,0
-68.162456,0
-68.333979,0
-70.303021,0
-72.440794,0
-72.396432,0
-75.099626,0
-76.570963,0
-76.945702,0
-78.110181,0
-80.417551,0
-80.519105,0
-73.920736,0
-72.907835,0
-72.184879,0
-70.998338,0
-65.000632,0
-64.241895,0
-56.615936,0
-57.037444,0
-53.892546,0
-49.095177,0
-47.150262,0
-46.255143,0
-46.08159,0
-42.994119,0
-42.201627,0
-40.077949,0
-41.780711,0
-36.95619,0
-39.343953,0
-41.27524,0
-41.124513,0
-38.909234,0
-35.850493,0
-40.996768,0
-41.412176,0
-39.774564,0
-37.291852,0
-38.505909,0
-43.450419,0
-39.350775,0
-38.328621,0
-40.186186,0
-42.865945,0
-41.935308,0
-41.409989,0
-41.787013,0
-43.441497,0
-42.28375,0
-41.461733,0
-42.806319,0
-45.326536,0
-45.470395,0
-43.410575,0
-41.38631,0
-47.31094,0
-45.606105,0
-42.280167,0
-42.60029,0
-44.643084,0
-45.547694,0
-40.259147,0
-42.062004,0
-44.661179,0
-46.560032,0
-41.59427,0
-38.654789,0
-41.325011,0
-43.539994,0
-40.812515,0
-38.924113,0
-39.298652,0
-42.339055,0
-41.64195,0
-42.237313,0
-45.262852,0
-47.5603,0
-47.626298,0
-43.426294,0
-46.141317,0
-49.521391,0
-47.606755,0
-44.434697,0
-43.349586,0
-44.813897,0
-48.698772,0
-43.592256,0
-43.520372,0
-39.958783,0
-36.995403,0
-36.356476,0
-33.119185,0
-35.809459,0
-40.121359,0
-38.952462,0
-35.895238,0
-37.224419,0
-35.857123,0
-34.130601,0
-29.943888,0
-29.541544,0
-29.012168,0
-32.089072,0
-32.820405,0
-35.014745,0
-38.467833,0
-36.992845,0
-37.511517,0
-38.18194,0
-41.562597,0
-40.852394,0
-39.110171,0
-39.660621,0
-40.549071,0
-43.894297,0
-42.865452,0
-41.956472,0
-41.039427,0
-43.833336,0
-42.773936,0
-40.415978,0
-39.11894,0
-43.0028,0
-42.420706,0
